id,capitulo,seccion,afirmacion,tipo,valor_ciep,fuente_oficial,valor_oficial,coincide,discrepancia,tipo_error,nota
V078,2 Egresos,Cuadro 3 (p.14),"Legislativo 14,916.6 (+6.5); Judicial 72,429.3 (+4.0); INE 27,689.8 (+60.7); TFJA 2,886.6 (0.0); CNDH 1,679.9 (-13.3); FGR 17,346.1 (+0.4); INEGI 7,746.1 (-54.8); COFECE 598.7 (-0.4); IFT 1,510.0 (-5.3); INAI 918.7 (+1.2)",a,,AN ramo GF; EM p.169-171,"coinciden (INEGI: EM p.203 da 7,393.6 / -56.0; AN 7,746.1 / -54.8)",si,,,INEGI: la EM y el analítico difieren en 352.5 mdp; CIEP sigue al analítico.
V079,2 Egresos,Cuadro 3 (p.14),"Ramos generales 1,107,917.3 (-1.4); Aportaciones a Seguridad Social 144,333.4 (+1.4)",a/b,"144,333.4; 1.4","EM p.169 (R19 961,026.5 +7.6; ramos generales 1,924,610.4 +2.7); EM p.165-166 cuentas dobles","961,026.5 - (525,623.2 + 291,069.9) = 144,333.4; 2020: 863,611.8 - 725,998.0 = 137,613.8 x1.034 = 142,292.7 -> +1.4",si,,,Neteo del R19 (aportaciones estatutarias + subsidios a IMSS/ISSSTE) no declarado en el cuadro; misma construcción que V105 de 2020.
V080,2 Egresos,Cuadro 3 (p.14),"R23 127,486.7 (-6.2); R25 58,254.3 (-1.8); R33 777,842.9 (-1.0); ECD 1,275,212.4 (+5.0); IMSS 901,687.1 (+5.7); ISSSTE 373,525.3 (+3.4); EPE 961,743.5 (-5.1); Pemex 544,598.1 (+0.6); CFE 417,145.4 (-11.6)",a,,EM p.169-183; AN,coinciden (ISSSTE EM 3.3 / AN 3.38),si,,,
V081,2 Egresos,Cuadro 3 (p.14),% PIB: autónomos 0.6; generales 4.4; R33 3.1; ECD 5.1; IMSS 3.6; ISSSTE 1.5; EPE 3.8; Pemex 2.2; CFE 1.7,b,,"PIB 24,983.9 mmp",0.59; 4.43; 3.11; 5.10; 3.61; 1.50; 3.85; 2.18; 1.67,si,,,
V082,2 Egresos,Cuadro 4 (p.15),"Ramos administrativos 1,244,235.4 (+4.8) y 25 ramos con monto y variación real",a,,EM p.173-181; AN,"todos coinciden; SCT -0.6 sigue al AN (EM +0.2 con otra base 2020: 55,830.2 vs AN 56,222.7); Turismo 641.6 (AN 641.8; EM 641.5); SEDATU 46.9 (AN 47.0)",si,,,"CIEP trunca en lugar de redondear (SEDATU, Conacyt, Turismo). SCT: la EM y el analítico difieren en la base 2020."
V083,2 Egresos,Cuadro 5 (p.16),"No programable 1,677,397.3 (-4.6); Deuda 541,094.6 (-2.8); Participaciones 921,402.6 (-6.4); Adefas 32,096.2 (+44.3); Ahorradores 11,245.9 (-74.9); Pemex 141,758.3 (+20.5); CFE 29,799.7 (-9.9)",a/b,,"DEC Anexo 1; EM p.160-162; DEC 2020 Anexo 1 (Pemex 113,733.5; CFE 31,961.0)",coinciden; Pemex +20.5; CFE -9.8,si,,,
V084,2 Egresos,Cuadro 5 (p.16),"Gasto bruto total 6,414,227.8 (-0.4); menos transferencias y cuotas al IMSS e ISSSTE 118,491.6 (-4.5); neto 6,295,736.2",a/b,"6,414,227.8; 118,491.6","DEC p.54 (neteo total 935,184.7); EM p.165-166","bruto oficial = 6,295,736.2 + 935,184.7 = 7,230,920.9",no,"6,414,227.8 vs 7,230,920.9",perimetro,"CIEP netea solo 118,491.6 (cuotas y transferencias del GF a IMSS/ISSSTE), no las aportaciones estatutarias y subsidios (816,693.1) que ya descontó en el R19 del cuadro 3. Neteo parcial no declarado."
V085,2 Egresos,Cuadro 6 (p.17),"Producción para el Bienestar 13,500.0 (+18.7); Precios de garantía 10,961.8 (+6.0); Fertilizantes 1,912.0 (+41.1); Sembrando Vida 28,929.9 (-1.9); Hijos de madres 2,685.0 (+18.4); Guarderías 13,090.4 (+1.4); Estancias 2,608.0 (+45.7); Microcréditos 1,500.0 (-42.0); Microempresas 1,600.0; Refugios 405.0; Patrimonio cultural 1,960.0 (-8.8); Reconstrucción 1,800.0 (-38.8); Mejoramiento Urbano 8,360.0 (+99.3)",a/b,,"AN PP (2020: 11,000; 10,000; 1,310; 28,504.9; 2,192.4; 12,482.2; 1,731.1; 2,500; -; -; 2,077.4; 2,843.8 en 4 ramos; 4,056.4)",+18.7; +6.0; +41.1; -1.9; +18.4; +1.4; +45.7; -42.0; nuevo; nuevo; -8.7; -38.8; +99.3,si,,,"Reconstrucción suma cuatro ramos (SEP, Salud, SEDATU, Cultura). Errata '-8-8'."
V086,2 Egresos,Cuadro 6 (p.17),Columna 'Avance 2T (% del aprobado 2020)': 86.2; 68.5; 95.2; 30.5; 27.4; 47.5; 64.1; 32.5; 52.8; 31.8; 11.9,a,,"(Informe trimestral 2T-2020, no en carpeta)",,no_verificable,,,
V087,2 Egresos,2.2.1 (p.12),"Tres programas de primera infancia suman 18,383.4 mdp = 0.4% del programable; solo Hijos de Madres es prioritario",b,"18,383.4; 0.4","AN: 2,684.5 + 13,090.4 + 2,607.9","18,382.8; 0.40% de 4,618,338.9",si,,,
V088,2 Egresos,2.2.1 (p.12-13),"SIPINNA -18.7%; Microcréditos -42%; Microempresas 1,600 (nuevo); Refugios 405 = 0.01% del programable; Patrimonio Cultural y PNR disminuyen; PMU +99.3%; PAE -92.4%; Agua Potable, Drenaje y Tratamiento -22.6%",a/b,,AN PP,"-18.7; -42.0; 1,600; 405 (0.009%); -8.7 / -38.8; +99.3; -92.4; -22.6 (PP 074; PP 007 infraestructura de agua +83.0)",si,,,
V089,2 Egresos,2.3 (p.13),Programas presupuestarios: de 890 a 882,b,890; 882,AN: pares ramo x programa con monto GF+entidades 662 (2020) -> 614 (2021); códigos únicos 512 -> 468,,no_verificable,,,El método de conteo no está declarado; ningún conteo del analítico da 890/882.
V090,2 Egresos,2.3 (p.13),Al 2T-2020 los programas del bienestar y de infraestructura fueron recortados para liberar recursos,a,,"(Informe trimestral 2T-2020, no en carpeta); CGPE p.36 solo da el agregado (+0.4% PIB programable)",,no_verificable,,,
V091,2 Egresos,2.3 (p.13),"Fortalecimiento de programas del bienestar dejando atrás mantenimiento, administración, derechos humanos y equidad de género",c,,,,,,,Juicio presentado en sección de implicaciones.
V092,4 Educación,4.1 (p.26),"Gasto educativo 836,400 mdp; crecimiento nulo vs PEF 2020 (perímetro: función educación + Ramo 11 en otras funciones, nota 7)",a/b,"836,400","AN función 2.5 (813,165.7) + Ramo 11 fuera de educación (23,234.2)","836,399.9; 2020: 808,960.6 x1.034 = 836,465.2 -> -0.01%",si,,,Perímetro declarado y reproducido.
V093,4 Educación,4.1 (p.26),-1.3% real vs ejercido 2019,a,-1.3,"(Cuenta Pública 2019, no en carpeta)",,no_verificable,,,
V094,4 Educación,4.2 (p.26),Ramo 33 concentra 51.5%; SEP 40.4%,b,,AN por ramo dentro del perímetro,51.5; 40.4,si,,,
V095,4 Educación,4.2 (p.26),Corriente 98.1%; capital distinto de obra 1.8%; obra pública 0.04%; gastos indirectos 0.02%,b,,AN TG dentro del perímetro,98.1; 1.8; 0.04; 0.02,si,,,
V096,4 Educación,4.2 (p.26-27),"12 subfunciones; básica 61.2%; superior 16.6%; EMS 14.4%; solo EMS, posgrado e investigación científica aumentan",b,,"AN SF: 511,749.9; 138,963.9; 120,564.1 sobre 836,399.9; var EMS +2.1, posgrado +5.8, investigación (PP 021) +0.1; básica -0.4, superior -0.2, adultos -11.7, otros -0.2",61.2; 16.6; 14.4; coincide,si,,,
V097,4 Educación,Cuadro 10 (p.28),13 programas eliminados; 54 programas en 2021; 40 con recortes reales,a/b,13; 54; 40,"AN PP: 17 códigos de 2020 desaparecen, 4 son renumeraciones (JEF 280->283; beca EMS 084->311; agropecuaria 001; investigación militar 022) = 13; 56 códigos en 2021; 40 con recorte",13; 56; 40,aprox,54 vs 56,,Conteo de 2021 depende de cómo se traten los códigos renumerados.
V098,4 Educación,4.2 (p.28),Mayores recortes: igualdad SDN -97.1%; PRODEP -48.8%; Proyectos de infraestructura social -37.9%,a,,AN PP (0.9 vs 30.6; 240.5 vs 454.2; 240.0 vs 373.9),-97.1; -48.8; -37.9,si,,,
V099,4 Educación,4.2 (p.28),"Mayores aumentos: Normalización y certificación +6,353%; La Escuela es Nuestra +63.1%; Jóvenes Escribiendo el Futuro +26.5%",a,,"AN PP (3,739.8 vs 56.0; 12,280.3 vs 7,280.3; 10,176.4 vs 7,776.4)","+6,354.7; +63.1; +26.6",si,,,
V100,4 Educación,4.2 (p.29),"Infraestructura educativa -29.7%; materiales en radio, TV y plataformas -3.0%; libros y materiales -1.2%; PRODEP -48.8%",a/b,,"AN: TG 3 obra pública del perímetro 348.0 vs 478.3 (-29.6); PP 013 -3.0; PP 003+016 SEP (3,290.4 vs 3,221.3 x1.034) -1.2",-29.6; -3.0; -1.2,si,,,'Infraestructura educativa' = obra pública (TG 3) del perímetro.
V101,4 Educación,4.2 (p.28-29),"45 alumnos por aula (BID); 33.3% de escuelas sin lavamanos, 28.9% sin agua, 14.3% sin sanitarios (SEP 2019)",a,,(BID 2020; SEP 2019: externos),,no_verificable,,,
V102,4 Educación,4.3 (p.29),No hay estrategia ni recursos extraordinarios para educación a distancia ni regreso a aulas,c,,,,,,,Juicio; consistente con la ausencia de líneas COVID en el AN (inventario §4.3).
V103,5 Pensiones,5.1 (p.31),El gasto en pensiones crece entre 5% y 7% promedio anual,c,,CGPE p.95 supone +7.0% real anual 2022-2026,,,,,Sin fuente ni periodo; el supuesto oficial es 7.0%.
V104,5 Pensiones,5.1 (p.31),4.9% del PIB a pensiones; un punto del PIB por arriba del IVA,b,4.9; 1.0,"EM p.165 (1,064,088.5) + CGPE p.54 (135,065.7 + 15,456.0); ILIF IVA 978,946.5; PIB 24,983.9","1,214,609.5/24,983,900 = 4.86; IVA 3.92; diferencia 0.94",si,,,
V105,5 Pensiones,5.1 (p.31),"Contributivas 1 billón 64 mil mdp; no contributivas 150,521 mdp",a/b,"1,064,000; 150,521","EM p.165-166 ('pensiones y jubilaciones' 1,064,088.5); CGPE p.54","1,064,088.5; 135,065.7 + 15,456.0 = 150,521.7",si,,,"El rubro oficial 'pensiones y jubilaciones' incluye GF 129,720.1 con pensiones civiles, militares y de gracia y previsiones LFC/FNM; llamarlo 'contributivo' es decisión de CIEP no declarada."
V106,5 Pensiones,5.2 (p.31),1 de cada 5 pesos del presupuesto total va a pensiones,b,20,"1,214,609.5 / 6,295,736.2",19.3%,si,,,
V107,5 Pensiones,5.2 (p.31),Pensiones: 4.1% PIB en 2019; 4.3% esperado 2020; 4.9% en 2021,a/b,4.1; 4.3; 4.9,"CGPE p.93 (pensiones y jubilaciones: 2020 aprobado 3.7; 2020 estimado 4.2; 2021 4.3); con perímetro de CIEP 2020 aprobado: (965,202.8 + 143,547.5)/26,254.1 = 4.2",2020: 4.2 (ambos perímetros); 2021: 4.9 con perímetro CIEP / 4.3 oficial,no,4.3 vs 4.2 (2020),perimetro,2019 requiere Cuenta Pública. El 4.3 de 2020 no sale con ningún perímetro; coincide con el 4.3 oficial de 2021.
V108,5 Pensiones,5.2 (p.31),Las pensiones contributivas han crecido siete puntos porcentuales del PIB desde 2019,a,7 pp,EM p.184 (+6.6% real 2021 vs 2020); CGPE p.93 (3.7 -> 4.3),+0.6 pp del PIB (2020a -> 2021); +6.6% real,no,7 pp vs 0.6 pp,transcripcion,Confusión de puntos porcentuales del PIB con tasa de crecimiento.
V109,5 Pensiones,5.1-5.2 (p.31),Contributivas +6.6% en 2021; no contributivas +1.4% vs PEF 2020,a/b,6.6; 1.4,"EM p.184 (+6.6); AN PP 176/286: (135,065.7 + 15,456.0) vs (129,350.3 + 14,197.2) x1.034",+6.6; +1.4,si,,,
V110,5 Pensiones,5.2 (p.31-32),PBAM +1% y discapacidad +5.3% vs aprobado 2020 (aunque el párrafo anterior dice que 'no aumentarían'),a/b,1.0; 5.3,"AN: 135,065.7 vs 129,350.3 x1.034; 15,456.0 vs 14,197.2 x1.034",+1.0; +5.3,si,,,Contradicción interna entre p.31 ('no aumentarían') y p.32 (+1% y +5.3%).
V111,5 Pensiones,5.2 (p.31),IMSS +10.5% por pensiones en curso de pago Ley 1973,a/b,10.5,"EM p.184 (+10.5); AN IMSS TG 4 (558,684.1 vs 488,616.7 x1.034); PP 001 Ley 1973 409,179.3 vs 344,161.7 x1.034 (+15.0)",+10.6; Ley 1973 +15.0,si,,,
V112,5 Pensiones,5.2 (p.32),"CFE +4.2%, ISSFAM +4.0%, ISSSTE +3.6%",a,,"AN TG 4: CFE 47,146.0 vs 43,727.0 (+4.3); R19 PP 005 haberes (+4.1); ISSSTE 263,187.2 vs 245,711.1 (+3.6)",+4.3; +4.1; +3.6,si,,,
V113,5 Pensiones,5.3 (p.32),"Pensionados de Pemex, CFE y LFC reciben 77 veces más que beneficiarios de PBAM",b,77,(número de pensionados por institución: no en el paquete),,no_verificable,,,Requiere informes de Pemex/CFE y padrón de PBAM.
V114,5 Pensiones,5.4 (p.32),"El aumento de 1% real a la PBAM equivale a 1,284 mdp",b,"1,284","AN: 135,065.7 - 129,350.3 x 1.034","1,317.5",aprox,33 mdp (0.02% de la base),deflactor,"Con factor 1.0342: 1,291; CIEP parece usar un deflactor ligeramente mayor."
V115,5 Pensiones,5.4 (p.32),El aprobado 2020 de PBAM no ha aumentado pese al adelanto de transferencias; habrá periodos sin recursos,a/c,,"(Informes trimestrales 2020, no en carpeta)",,no_verificable,,,
V116,5 Pensiones,5.1 / Resumen,Contributivas llegarán a 5.3% del PIB en 2026,a,5.3,CGPE p.93; EM p.156,5.3,si,,,
V117,5 Pensiones,5.4 (p.34),Sin reforma se condena a las siguientes generaciones a servicios sin calidad y a pagar pensiones y deuda,c,,,,,,,Juicio.
V118,6 Energía,6.1 (p.36),Producción energética doméstica 48% superior en 2024 vs 2018 (política sectorial),a,48,(Plan sectorial de energía 2020-2024: externo),,no_verificable,,,
V119,6 Energía,6.2 (p.36),"Función Combustibles y Energía (6 ramos): 1,218,449 mdp; 4.9 pp PIB; 19.4% del PPEF; -3.2% real",a/b,,"AN función 3.3 GF+ent: 1,218,449.8; 2020 1,217,619.7","1,218,449.8; 4.88; 19.4; -3.2",si,,,Perímetro declarado (6 ramos) y reproducido.
V120,6 Energía,6.2 (p.36),"Pemex 685,465 mdp = 56% de la función; +4.1% real; único ramo que aumenta",a/b,"685,465; 56; 4.1","AN Pemex función 3.3: 685,461.1 (56.3%); +4.2; los otros cinco caen","685,461.1; 56.3; +4.2",si,,,
V121,6 Energía,6.2 (p.36-37),Pemex: corriente +7.8; capital distinto de obra +13 (compra de acciones); obra +0.9; 44% a obra; pensiones -1.1 (10% del gasto); AI producción 49%,b,,AN Pemex por TG y AI,+7.9; +13.0; +0.9; 43.8; -1.1 (9.5%); 49.4,si,,,
V122,6 Energía,6.2 (p.37),"CFE 399,715 mdp; -13.1%; corriente -14 (87% del total); obra 24,850 (-8%); capital distinto +4 (Pidiregas); inversión total -2.3%",a/b,,"AN CFE función 3.3: 399,714.7; TG1 -14.4 (87.1%); TG3 24,850.3 (-8.2); TG2 +3.9; TG2+3 -2.3",coinciden,si,,,
V123,6 Energía,6.2 (p.37-38),CFE por AI: comercialización -67%; generación -12%; distribución +14%,b,,AN CFE AI 17 (-67.1); AI 13 (-11.6); AI 16 (+13.9),-67.1; -11.6; +13.9,si,,,
V124,6 Energía,6.2 (p.38),CFE transmisión +37%,b,37,"AN CFE AI 14: 20,046.2 vs 14,511.2 (+33.6 real; +38.1 nominal)",+33.6,no,37 vs 33.6,contrafactual,Hipótesis: nominal (38.1) redondeado hacia abajo; ninguna reproduce 37 exactamente.
V125,6 Energía,6.2 (p.38),"SENER 46,158 mdp, -6%; 98% es la aportación patrimonial a Pemex para Dos Bocas: 45,050",a/b,,"AN Ramo 18 función 3.3: 46,158.3 (-6.3); TG 2 45,050.0 (97.6%)",coinciden,si,,,
V126,6 Energía,6.2 (p.38),CRE 245 millones; CNH 212 millones; sin cambios reales,a,245; 212,AN 2021: CRE 253.3; CNH 219.8 (2020: 245.4; 212.6); var -0.2 y -0.0,253.3; 219.8,no,245 vs 253.3; 212 vs 219.8,transcripcion,CIEP reporta los valores de 2020 como si fueran 2021; 'sin cambios reales' sí es correcto.
V127,6 Energía,6.2 (p.38),"Ramo 23: FEIEF 2,195 y FEIP 7,546 (-20%); hidrocarburos 6,900 (-3%); tarifas eléctricas 70,000 (-3.3%) = 81% del Ramo 23 en la función",a/b,,"AN R23 PP 080, 081, 093, 129","2,195.4 (-19.6); 7,546.9 (-19.6); 6,900.2 (-2.6); 70,000 (-3.3); 80.8%",si,,,"'81% del presupuesto total al Ramo 23' es del Ramo 23 dentro de la función (86,642.5), no del ramo completo (127,486.7)."
V128,6 Energía,6.3 (p.38),Inversión del sector +1.3% vs aprobado 2020,b,1.3,"AN función 3.3 TG 2+3: 465,952.7 vs 448,558.3 x1.034 (+0.5); solo Pemex+CFE: +1.9",+0.5,no,1.3 vs 0.5,perimetro,Inconsistente con el propio texto (CFE inversión -2.3 en p.37; -1.3 en p.38).
V129,6 Energía,6.3 (p.38),Corriente del sector -5.8% = 42 mil millones menos; CFE corriente -14.4; Pemex +7.8,b,,"AN función 3.3 TG 1: 687,146.0 vs 705,166.5 x1.034 = 729,142.1","-5.8; -41,996; -14.4; +7.9",si,,,
V130,6 Energía,6.3 (p.38),Recursos de inversión de Pemex +13% real; CFE -1.3%,b,13; -1.3,"AN TG 2+3: Pemex 352,613.5 vs 332,604.4 x1.034 (+2.5); CFE -2.3",+2.5; -2.3,no,13 vs 2.5; -1.3 vs -2.3,perimetro,"El +13 es solo capital distinto de obra (TG 2) de p.36, relabelado como inversión; CFE -1.3 contradice el -2.3 de p.37."
V131,7 Federalizado,7.1 (p.40),"Gasto federalizado 2021: 1,867,338.4 ('pesos reales'); 7.5% PIB; 29.7% del gasto neto",a/b,,"EM p.201 (1,867,338.4 mdp)","1,867,338.4; 7.47; 29.7",si,,,"Unidades: mdp de 2021, no pesos."
V132,7 Federalizado,7.1 (p.40),Participaciones 49%; aportaciones 45%; resto 6%,b,,"Cuadro 11 / EM p.201: 921,402.6; 836,097.2; 109,838.6",49.3; 44.8; 5.9,si,,,
V133,7 Federalizado,7.2 (p.40),-5.5% real vs 2020,a,-5.5,EM p.201,-5.5,si,,,"La base 2020 de la EM (1,976,080 en pesos 2021) ya no incluye Protección Social en Salud (72,538.4 en el PEF 2020)."
V134,7 Federalizado,7.2 (p.40),Descenso de las aportaciones 6.4% y de las participaciones 1.1%,a,-6.4; -1.1,EM p.201: participaciones -6.4; aportaciones (R33 + R25) -1.1,participaciones -6.4; aportaciones -1.1,no,etiquetas invertidas,transcripcion,Los valores son correctos con los conceptos intercambiados.
V135,7 Federalizado,7.2 (p.40),El gasto federalizado distinto de aportaciones y participaciones disminuyó 50.4% real,b,-50.4,"EM p.201: convenios 130,903.6 -> 100,693.0 (-23.1); Ramo 23 15,707.3 -> 9,145.6 (-41.8); resto 146,610.9 -> 109,838.6",-25.1%,no,-50.4 vs -25.1,perimetro,"-50.4 solo se reproduce si la base 2020 incluye Protección Social en Salud (72,538.4 x1.034 = 75,004.7): 109,838.6 / 221,615.6 = -50.4. Inconsistente con el -5.5 total, cuya base la excluye."
V136,7 Federalizado,7.2 (p.40),29.7% del gasto y 7.5% del PIB en 2021; promedió 34.2% y 8.2% entre 2018 y 2020,a,34.2; 8.2,"(Cuentas Públicas 2018-2019, no en carpeta)",,no_verificable,,,
V137,7 Federalizado,7.2 (p.40),"Per cápita 2021: CDMX 19,147; BCS 18,758; Campeche 18,414; Guanajuato 11,638; Edomex 11,801",b,,Cuadro 11 (montos) / población proyectada CONAPO en el mismo cuadro,"19,147; 18,758; 18,414; 11,637; 11,801",si,,,Aritmética interna del cuadro 11. Los montos por entidad no se cotejaron contra el AN (columna EF).
V138,7 Federalizado,7.2 (p.40),"Todos los estados reciben menos en 2021; Tamaulipas -2.8, Zacatecas -3.4; CDMX -17.7, Campeche -10.8 (per cápita real)",b,,(base 2020 por entidad: PEF 2020 por EF + CONAPO 2020; no procesado),,no_verificable,,,Verificable en corrida futura con AN20 columna EF.
V139,7 Federalizado,7.2 (p.41),"Participaciones per cápita: CDMX 10,477; Tabasco 9,816; Campeche 9,000; Oaxaca 5,707; Guerrero 5,807",b,,Cuadro 11 / CONAPO,"10,478; 9,816; 9,001; 5,707; 5,807",si,,,
V140,7 Federalizado,7.2 (p.41),"Aportaciones per cápita: Oaxaca 10,358; Guerrero 10,070; Nuevo León 4,288; Jalisco 4,388",b,,Cuadro 11 / CONAPO,"10,358; 10,070; 4,288; 4,388",si,,,
V141,7 Federalizado,7.2 (p.41),"Convenios y subsidios per cápita: Colima 2,246; BCS 2,143; Edomex 265; CDMX 398",b,,Cuadro 11 / CONAPO,"2,247; 2,143; 266; 399",si,,,
V142,7 Federalizado,7.2 (p.41),El gasto federalizado es 87% de los recursos estatales en 2021,a,87,(Transparencia presupuestaria / finanzas estatales: externo),,no_verificable,,,
V143,7 Federalizado,Cuadro 11 (p.43),"Totales: 1,867,338.4; participaciones 921,402.6; aportaciones 836,097.2; restante 109,838.6",a/b,,"EM p.201: R33 777,842.9 + R25 58,254.3 = 836,097.2; convenios 100,693.0 + R23 9,145.6 = 109,838.6",coinciden,si,,,Perímetro de 'aportaciones' (incluye Ramo 25) declarado solo por diferencia.
V144,7 Federalizado,nota 9 (p.40),-5.4% respecto al modificado al 2T-2020,a,-5.4,"(Informe trimestral, no en carpeta)",,no_verificable,,,
V145,7 Federalizado,7.3 (p.42),La dependencia de las transferencias compromete la provisión de bienes; conviene generar ingresos propios,c,,,,,,,Juicio.
V146,8 Inversión,8.1 (p.45),"Inversión 829,385.9 mdp; 3.3% PIB; 13.2% del gasto neto",a/b,,"EM p.165 (829,385.9); PIB","829,385.9; 3.32; 13.17",si,,,
V147,8 Inversión,8.1 (p.45),Obra pública 63%; capital diferente de obra 36%; restantes 0.5%,b,,"AN TG 3 525,489.4; TG 2 300,077.3; resto 829,385.9 - 825,566.6 = 3,819.3",63.4; 36.2; 0.46,si,,,"El residuo 3,819.3 coincide con la cifra del FONSABI para infraestructura (EM p.64)."
V148,8 Inversión,8.1 (p.45),52.2% de la inversión se destina directamente a infraestructura,b,52.2,(clasificación 'infraestructura' no declarada; requiere criterio por AI o PP),,no_verificable,,,
V149,8 Inversión,8.2 (p.45),+5.3% vs aprobado 2020; +1.2% vs estimado al cierre 2020,a/b,5.3; 1.2,EM p.186 (+5.3); CGPE p.111 no da inversión estimada 2020,+5.3; cierre: sin fuente en carpeta,aprox,1.2 no verificable,,
V150,8 Inversión,8.2 (p.45),Obra pública +9.3%; capital diferente de obra -1%; recursos a infraestructura +15.1%,b,,AN TG 3 (+9.4); TG 2 (-1.0); capítulo 6000 (+15.1),+9.4; -1.0; +15.1,si,,,'Infraestructura' aquí = capítulo 6000 (inversión pública); en p.45 '52.2%' usa otro criterio.
V151,8 Inversión,8.2 (p.45),"Entre 2015 y 2020 la inversión promedió 10,045.6 mdp reales, 21.1% más que lo proyectado para 2021",a/b,"10,045.6; 21.1","829,385.9 x 1.211 = 1,004,386; Cuentas Públicas 2015-2019 no en carpeta",la cifra impresa está dividida entre 100,no,"10,045.6 vs ~1,004,400",transcripcion,El promedio en sí no es verificable con la carpeta; la inconsistencia con el 21.1% sí.
V152,8 Inversión,8.2 (p.45),"2015-2020: obra 50.9%, capital 44.9%, restantes 4.2%; 2021: 63.4% obra, 82.4% de ella a infraestructura",a/b,,"(Cuentas Públicas); AN 2021 TG 3 / 829,385.9 = 63.4",63.4 coincide; resto no verificable,aprox,,,
V153,8 Inversión,8.2 (p.45),Energía 56.2% de la inversión; vivienda 21.7%; resto 22.1%,b,,"AN TG 2+3 por función: 3.3 465,952.7; 2.2 179,754.9 sobre 829,385.9",56.2; 21.7; 22.1,si,,,
V154,8 Inversión,8.2 (p.45-46),Inversión en comunicaciones y transportes +91.2% real; de 5.5% a 10.0% del total,b,,"AN funciones 3.5 + 3.6 TG 2+3: 83,244.6 vs 42,101.7 x1.034",+91.2; 5.5 -> 10.0,si,,,
V155,8 Inversión,8.2 (p.46),Ferroviario pasa de 8.7% a 53.7% de la inversión en comunicaciones y transportes,b,,"AN 3.5 SF 3: 44,672.9 / 83,126.3; 2020 3,680.0 / 42,093.4",53.7; 8.7,si,,,
V156,8 Inversión,8.2 (p.46),Educación y salud reciben 3.9% de la inversión; casi 15 veces menos que energía,b,3.9; 15,"AN TG 2+3: educación (2.5) 15,228.3 + salud (2.3) 2,000.4 GF + 10,437.2 entidades = 27,665.9",3.3%; energía/educación+salud = 16.8,no,3.9 vs 3.3,perimetro,No se identifica qué agrega CIEP para llegar a 32.3 mmp.
V157,8 Inversión,8.2 (p.47),"Dos Bocas 45,050.0; Tren Maya 36,288.0; Sistema Aeroportuario Metropolitano 21,814.8",a,,"AN SENER TG 2 (45,050.0); CGPE p.54 (Tren Maya 36,288.0; AIFA 21,314.8); AN Defensa PP 019 (21,814.8)","45,050.0; 36,288.0; 21,814.8 (PP) / 21,314.8 (CGPE)",si,,,CGPE p.54 y el PP de Defensa difieren en 500 mdp para el aeropuerto; CIEP sigue al analítico.
V158,8 Inversión,8.2 (p.47),= 9.7% de la inversión en energía; 43.6% de comunicaciones y transportes; 75.0% de la inversión en seguridad nacional; en conjunto 12.4% de la inversión; más de 3 veces salud+educación,b,,"45,050/465,952.7; 36,288/83,244.6; 21,814.8/32,056.7 (AN función 1.6 TG 2+3); 103,152.8/829,385.9; 103,152.8/27,665.9",9.7; 43.6; 68.1; 12.4; 3.7,no,75.0 vs 68.1,perimetro,Solo el denominador de seguridad nacional no se reproduce.
V159,8 Inversión,8.3 (p.47),Mínimo del Banco Mundial para ODS: 4.5% del PIB; ENDUTIH: 13.9% de bajos ingresos y 14.8% de hogares rurales sin internet,a,,(Rozenberg y Fay 2019; INEGI ENDUTIH 2019: externos),,no_verificable,,,
V160,8 Inversión,8.3 (p.47),"Internet para Todos (CFE Telecomunicaciones) recibiría 1,986.2 mdp, catalogado como gasto corriente",a,"1,986.2","AN CFE PP 583 Servicios de infraestructura aplicable a telecomunicaciones: 2,485.6 (cap. 1000 156.4; 2000 1,845.7; 3000 483.5), todo TG 1; SCT PP 009 Internet para Todos: 0 (2020: 468.7)","2,485.6",no,"1,986.2 vs 2,485.6",perimetro,"Ningún subconjunto por capítulo da 1,986.2. 'Gasto corriente' sí coincide."
V161,8 Inversión,8.3 (p.47),Menos de una cuarta parte de la inversión en comunicaciones se destinará a infraestructura,b,,AN función 3.6 TG 2+3: 118.3; TG 3 28.0,23.7%,si,,,
V162,8 Inversión,8.4 (p.48),Inversión insuficiente para crecimiento sostenido; energía concentra en perjuicio de educación y salud; sin impulso a brecha digital,c,,,,,,,Juicio.
V163,9 Seguridad,9.1 (p.50),Gasto en seguridad 2021 = 1.2% del PIB,b,1.2,"Cuadro 12 total 312,099.9 / PIB",1.25,si,,,
V164,9 Seguridad,9.2 (p.50),Gasto en seguridad pública y nacional +10.9% real,b,10.9,"AN, mismas 15 subfunciones GF+ent: 2021 312,099.9; 2020 282,131.5 x1.034 = 291,724.0",+7.0% real (+10.6 nominal),no,10.9 vs 7.0,contrafactual,La base 2020 de CIEP no está en el documento; ni real ni nominal reproducen 10.9.
