id,capitulo,seccion,afirmacion,tipo,valor_ciep,fuente_oficial,valor_oficial,coincide,discrepancia,nota
V096,3 Gasto,3.2.4 (p.24),INEE último presupuesto 722.4; Organismo para la Mejora Continua 664.1,a,722.4; 664.1,analítico R47 (programa Sistema Nacional de Mejora Continua 382.8),382.8 (programa); UR no aislada; 2019 no en carpeta,no_verificable,,EM p.125 confirma la extinción del INEE.
V097,3 Gasto,3.3 (p.24),De 18 programas prioritarios solo seis aumentan,b,6/18,CIEP cuadro 3.1; 2019 no en carpeta,,no_verificable,,
V098,3 Gasto,Cuadro 3.1 (p.25),"Montos 2020: Pensión Adultos Mayores 126,650; Sembrando Vida 25,131; Discapacidad 11,906; Madres Trabajadoras 2,192; JEF 7,776; Becas básica 30,475; Universidades 987; Desarrollo Cultural 7,978; JCF 25,614; Crédito Ganadero 1,000; Precios de Garantía 10,000; Fertilizantes 1,000; Producción Bienestar 11,000; Microcréditos 2,500; Atención y Medicamentos 6,634; Vivienda Social 1,483; Texcoco 587",a,,analítico ramo-programa 2020,"126,650.3; 25,130.9; 11,905.9; 2,192.4; 7,776.4; 30,475.1; 987.4; 3,547.8+4,430.6=7,978.4; 25,614.2; 1,000.0; 10,000.0; 1,000.0; 11,000.0; 2,500.0; 6,634.0; 1,483.0; 586.9",si,,17 de 18 montos 2020 verificados. EM p.63/p.215 da 126.7 y 11.6 (este último es la porción del anexo pobreza).
V099,3 Gasto,Cuadro 3.1 (p.25),"Beca Universal Media Superior 2020 = 30,475",a,"30,475",analítico R11 PP 084,"28,995.2",no,"1,480 mdp","Mismo valor que Becas básica (30,475): errata. p.50 y EM p.205 dan 28,995.2."
V100,3 Gasto,Cuadro 3.1 (p.25),"Columna PEF 2019 y variaciones (PAM 103,600 +22%; SV 15,540 +62%; becas básica 71,008 -57%; etc.)",a/b,,PEF 2019 no en carpeta; EM p.64: SV +10.1 mmp vs 2019 (nominal) -> 2019 = 15.0,no_verificable,,"SV: 15.0*1.036=15.5, cierra con 15,540.",
V101,3 Gasto,Cuadro 3.2 (p.26),"Anexos transversales 2020: prevención delito 190,946; jóvenes 418,261; indígenas 100,960; igualdad 100,695; transición 29,590; CTI 98,317; PEC 331,455; cambio climático 55,652; grupos vulnerables 187,055; NNA 763,750",a,,DEC Anexos 10-19 (p.65-88); EM p.195-214,"190,945.5; 418,261.0; 100,960.3; 100,694.7; 29,590.3; 98,316.7; 331,455.2; 55,652.3; 187,055.1; 763,750.0",si,,10 de 10.
V102,3 Gasto,Cuadro 3.2 (p.26),Programas para superar la pobreza: sin información en PPEF 2020; se asume que desapareció; total anexos -13.6%,a/b,* (sin dato); -13.6%,"EM p.215 (3.5.10): 470,626 mdp","470,626 mdp existe en la EM",no,omisión,"Con 470,626: total 2020 = 2,747,307 vs 2,635,679 (2019 CIEP) = +4.2%, no -13.6%. Invalida la lectura de 'cambio de estrategia' (p.25)."
V103,3 Gasto,Cuadro 3.3 (p.27),"Ramos autónomos 142,938; Poder Legislativo 13,540; Judicial 68,632; INE 17,732; TFJA 3,100; CNDH 1,911; FGR 18,202; INEGI 16,573; Cofece 589; IFT 1,730; INAI 927 (2020)",a,,DEC Anexo 1; EM p.155,"123,265.3+16,572.9+3,100.2=142,938.4; demás idénticos",si,,
V104,3 Gasto,Cuadro 3.3 (p.27),"Ramos generales 1,085,656; Aportaciones a Seguridad Social 137,614",b,"137,614","DEC Anexo 1 (863,611.8); EM p.152 (aportaciones estatutarias 457,518.8; subsidios y aportaciones 268,479.2)","863,611.8-457,518.8-268,479.2=137,613.8; ramos generales 137,613.8+131,300.5+57,357.5+759,383.9=1,085,655.7",si,,Rehecho: CIEP neta del Ramo 19 las transferencias a IMSS/ISSSTE. No lo declara.
V105,3 Gasto,Cuadro 3.3 (p.27),"ECD 1,174,505 (IMSS 825,063; ISSSTE 349,442); EPE 979,862.1 (Pemex 523,425.0; CFE 456,437.1)",a,,DEC Anexo 1,idénticos,si,,
V106,3 Gasto,Cuadro 3.3/3.4 (p.27-28),"Valores PEF 2019 en pesos de 2020 (programable 4,296,729.9; ramos administrativos 1,177,512; ECD 1,108,583; EPE 931,679.5; Gobernación 62,971; PGR 15,904)",a,,"EM p.147, p.160, p.166-167 (2019a en pesos 2020: 4,295,441.3; 1,161,981.9; 1,108,250.8; 931,400.1; 7,329.6; FGR 15,899.0)",difieren ~0.03% (deflactor) salvo Gobernación/PGR (resectorización),aprox,,CIEP parte del PEF 2019 original; la EM presenta 2019 con la estructura 2020.
V107,3 Gasto,Cuadro 3.4 (p.28),Ramos administrativos 2020 por ramo (27 líneas),a,,DEC Anexo 1; EM p.160,"idénticos (Bienestar 173,092; Energía 48,507; SEP 324,713; Salud 128,589; ...)",si,,
V108,3 Gasto,Cuadro 3.5 (p.28),"No programable 1,701,144: Deuda 543,349; Participaciones 944,271; Adefas 24,000; Ramo 34 43,830; Pemex 113,734; CFE 31,961",a,,DEC Anexo 1,idénticos,si,,
V109,3 Gasto,Cuadro 3.5 (p.28),"Gasto bruto 6,216,356; menos cuotas al ISSSTE 120,020; neto 6,096,336",b,"120,020","EM p.152 (aportaciones al ISSSTE 50,019.9; transferencias y apoyos fiscales EPE 70,000.0); DEC p.59 neteo total 846,017.9","50,019.9+70,000.0=120,019.9",si,,"Rehecho: 'cuotas al ISSSTE' de CIEP incluye 70,000 de apoyos a EPE; etiqueta incorrecta, cifra reproducible. El neteo oficial completo es 846,017.9."
V110,3 Gasto,3.3 (p.24),Menor no programable permitió mantener el programable,c,,,,,,Juicio (lectura causal).
V111,4 Salud,4.1-4.2 (p.30),"656,761 mdp; +2.1%; 10.8% del presupuesto; 2.5% PIB; brecha de al menos 3.5 pp del PIB (OMS 6%)",a/b,,"analíticos (ver Resumen); 26,254.1 mmp (CGPE p.69)","656,761.2; 10.77%; 2.50%; 6-2.5=3.5",si,,OMS 6% es referencia externa.
V112,4 Salud,4.2 (p.30-31),"IMSS e ISSSTE suman +13,265 mdp; población sin SS +1,042 mdp; una doceava parte",b,"13,265; 1,042",CIEP cuadro 4.1 (2019 no en carpeta),"11,164+2,101=13,265; -151+330+864=1,043; 13,265/1,043=12.7",no_verificable,,Aritmética interna cierra.
V113,4 Salud,4.2 (p.31),"Servicios médicos Pemex -15% (-2,249 mdp); 12,438.6 en 2020",a,"12,438.6",analítico Pemex PP 013,"12,438.6",si,,Variación no verificable.
V114,4 Salud,Cuadro 4.1 (p.31),"IMSS 319,345; SSA 128,589; FASSA 103,372; ISSSTE 63,187; R19 20,467.6; Pemex 12,438.6; Sedena 6,678.6; Semar 2,684.3; Total 656,761 (2020)",a,,analíticos función salud + Ramo 12 total,"319,344.8; 128,589.3; 103,371.5; 63,186.5; 20,467.6; 12,438.6; 6,678.6; 2,684.3; 656,761.2",si,,"SSA se toma por ramo completo (128,589.3) y no por función salud (124,138.4)."
V115,4 Salud,4.2 (p.31-32),IMSS e ISSSTE = 58% del sistema en 2020; +5 pp desde 2013; SSa 25% -> 20%,b,58; 20,analíticos,"(319,344.8+63,186.5)/656,761.2=58.2%; 128,589.3/656,761.2=19.6%",aprox,,2013 no en carpeta.
V116,4 Salud,Cuadro 4.2 (p.35),"2020: IMSS-Bienestar 13,186; Cañeros 280; FASSA 103,372; ISSSTE Atención 27,264; Suministro de claves 18,528; Proyectos infraestructura ISSSTE 1,816; IMSS Atención 237,562; Mantenimiento 917; Proyectos infraestructura IMSS 2,472; Pemex 12,439; Atención y Medicamentos 6,634; SSA Atención 23,245; Fortalecimiento 1,600; adicciones 1,387; VIH 416; enfermedades 534; sobrepeso 520; discapacidad 25; infraestructura salud 111; Rectoría 512; salud materna 2,328; Siglo XXI 1,984; Seguro Popular 72,538; asistencia social 1,013",a,,analíticos ramo-programa,"13,185.7; 280.0; 103,371.5; 27,263.7; 18,527.8; 1,815.7; 237,562.4; 917.2; 2,472.2; 12,438.6; 6,634.0; 23,244.8; 1,600.0; 1,387.0; 416.4; 534.0; 519.8; 25.0; 111.3; 512.3; 2,328.1; 1,984.4; 72,538.4; 1,013.1",si,,24 de 26 montos 2020 verificados.
V117,4 Salud,Cuadro 4.2 (p.35),"ISSSTE Gastos administrativos por operación de fondos 10,283; IMSS Actividades de apoyo administrativo 64,238 (2020)",a,"10,283; 64,238","analíticos (ISSSTE PP 002 14,616.1; IMSS PP 001 65,416.3)","14,616.1; 65,416.3",no,"4,333; 1,178",
V118,4 Salud,4.3 (p.33),"PROSPERA salud 2019 = 6,825 (pesos 2020); sustituido por Atención y Medicamentos 6,634",a,"6,825","(PEF 2019 no en carpeta); analítico 2020 6,634.0",2020 sí,no_verificable,,
V119,4 Salud,4.3 (p.34),Estancias infantiles sin presupuesto en Salud 2020 (-231 mdp),a,0,"analítico R12 (no aparece programa de estancias); R20 Madres Trabajadoras 2,192.4",consistente para Ramo 12,no_verificable,,2019 no en carpeta.
V120,4 Salud,4.4 (p.34-36),"25 de 64 UR de la SSa sin presupuesto; recortes 9,739; CNPSS -8,473; Sector central 17,007; neto -1,205",b,,analítico por UR 2020 disponible; 2019 no en carpeta,"9,739+8,473-17,007=1,205 (aritmética interna)",no_verificable,,
V121,4 Salud,4.5.1 / Cuadros 4.4-4.5 (p.37-38),"Costo de atención universal entre 0.65% y 3.63% PIB; primer escenario 162,063 mdp (0.65%); PPEF aporta 1,042 (0.004% PIB)",b,,modelo CIEP,"162,063/26,254,100=0.62% (CIEP dice 0.65); 1,042/26,254,100=0.0040%",no,0.62 vs 0.65,"Escenarios no reproducibles; el cociente 162,063/PIB da 0.62."
V122,4 Salud,4.5 (p.36),Reforma de financiamiento pendiente; sistema para población sin SS es la asignatura pendiente,c,,,,,,Juicio.
V123,5 Inversión,5.1 (p.40),"759,868; 12.4%; 2.9%; +2.5%; composición 38.3/0.5/61.2; inversión pública 364,582 = 48% del gasto de inversión",b,,EM p.169; analíticos cap.6000,"759,868.2; 364,582.8/759,868.2=48.0%; 465,280/759,868.2=61.2%; 290,882.7=38.3%; 3,705.4=0.5%",si,,
V124,5 Inversión,5.2 (p.40),"Gasto de inversión -43% de 2015 a 2020, de 5% a 2.9% PIB; capital diferente de obra pública -45% desde 2016",b,-43; 5 -> 2.9,"CGPE p.177 (gasto de capital 2015 5.1; 2016 5.9); EM p.131 (gasto de inversión 2015 1,119,985.9 -> 2020 759,868.2)",5.1 -> 2.9 = -43% en puntos; en pesos 2020: -32.2% real,aprox,,"'-43%' es caída de la proporción del PIB, no real; 2016 no verificable."
V125,5 Inversión,5.2 (p.41),"Obra pública máximo 2015: 686,083 mdp reales; -30% real 2016-2020; GF propone 465,280 (-8.1%)",a/b,,(Cuentas Públicas no en carpeta),,no_verificable,,
V126,5 Inversión,5.3 / Cuadro 5.1 (p.41-42),"Obra pública 465,280 = 7.6% del gasto y 1.8% PIB; 78% cap.6000; 18.8% participaciones y aportaciones; 2.1% inversiones financieras; cap.5000 43,860; cap.8000 inversión 196,742.2; cap.7000 100,479.0",b,,"analíticos por capítulo (GF+entidades); EM p.170 (aportaciones federales inversión física 196,742.2; inversión financiera 104,405.0)","7.63%; 1.77%; 364,582.8/465,280=78.4%; 87,251.2/465,280=18.8%; cap.5000 7,882.0+10,465.0+22,883.3+2,629.7=43,860.0; 196,742.2 exacto; cap.7000 59,246.1+41,256.6=100,502.7 (CIEP 100,479.0)",aprox,cap.7000 24 mdp,
V127,5 Inversión,5.4 (p.42),"Inversión pública: Pemex 79%, SCT 8.3%, CFE 7.2%",b,79; 8.3; 7.2,analíticos cap.6000,"288,027.5/364,582.8=79.0%; 30,202.6/=8.3%; 26,176.4/=7.2%",si,,
V128,5 Inversión,5.5 (p.43),"Aumento real se observa en inversiones financieras, no en infraestructura; concentración deja poco para salud y educación",c,,EM p.169-170 (inversión física -5.4%; financiera +119.5%),descriptivo verificado; la lectura es juicio,,,
V129,6 Educación,6.2 (p.45),"807,305 mdp; +0.5% real; primero desde 2015; 3.1% PIB; 11.6% del gasto total (11.8% en 2019)",b,"807,305; 3.1; 11.6","analítico función; 26,254.1 mmp (CGPE p.69)","807,304.8; 3.07%; 807,304.8/6,096,335.8=13.2%",no,11.6 vs 13.2,El 11.6% no se reproduce con ningún denominador oficial (programable: 18.4%).
V130,6 Educación,6.2.1 (p.45-46),98% corriente (+0.6%); capital diferente de obra 1.9% (-0.5%); obra pública 0.1% (-47.2%); gastos indirectos 0.02% (-19.8%),b,,analítico por capítulo 2020 disponible; 2019 no en carpeta,,no_verificable,,
V131,6 Educación,6.2.1 (p.46),Aportaciones federales 51.5% y SEP 40.2% del presupuesto educativo,b,51.5; 40.2,analítico función educación por ramo,"R33 415,869.1/807,304.8=51.5%; R11 (302,023.1+22,689.5)/807,304.8=40.2%",si,,
V132,6 Educación,6.2.2 (p.47),"Organismo para la Mejora Continua 664 mdp, -8.1% real vs INEE 2019",a,664; -8.1,analítico R47 PP 016 (382.8),382.8 a nivel programa; UR no aislable,no_verificable,,
V133,6 Educación,6.2.3 (p.47),"Básica 61.5%, superior 16.6%, media superior 14.1%, resto 7.9%",b,,analítico función educación por SF,"496,349.1/807,304.8=61.5%; 133,717.9/=16.6%; 113,956.8/=14.1%; resto 7.9%",si,,Reproducido exactamente.
V134,6 Educación,6.2.3 (p.47),Descensos en 7 de 12 subfunciones; Desarrollo tecnológico -55%; Función pública -15.2%; Cultura -10.8%,a,,2019 no en carpeta,,no_verificable,,
V135,6 Educación,6.3 (p.47-48),"68 programas; 5 eliminados; 8 nuevos; FONE Servicios Personales 357,963 = 44.3% del gasto educativo = 1.4% PIB (-0.4%)",b,"357,963; 44.3; 1.4",analítico R33 PP 013,"357,962.5; 44.3%; 1.36% PIB",si,,-0.4% no verificable.
V136,6 Educación,6.3 (p.48),37 de 68 programas con recortes (66.7% del presupuesto); 21 con incrementos (32.2%); 8 nuevos (0.2%),b,,2019 no en carpeta,,no_verificable,,
V137,6 Educación,6.3 (p.49),Escuelas de Tiempo Completo -51.7% y Becas básica -29.4%; ETC = 1% de básica; becas básica 6.1%,b,,"analíticos: ETC 5,100.0; becas básica 30,475.1; básica 496,349.1","5,100/496,349.1=1.03%; 30,475.1/496,349.1=6.1%",aprox,,Cuadro 3.1 da -57% para becas básica vs -29.4% aquí: inconsistencia interna.
V138,6 Educación,6.3 (p.49-50),"JEF 28,995 y Beca Universal MS 28,995; +62% y +73.8%; juntos 4.6% del gasto educativo",a/b,"28,995 / 28,995","analíticos: JEF 7,776.4; Beca Universal 28,995.2","JEF 7,776.4 (no 28,995); (7,776.4+28,995.2)/807,304.8=4.6%",no,JEF,"El 4.6% cierra con 7,776, lo que confirma la errata. Cuadro 3.1 da +74% y +70%: inconsistente con +62% y +73.8%."
V139,6 Educación,6.3 (p.50),Beca Universal = 25.4% de media superior,b,25.4,analíticos,"28,995.2/113,956.8=25.4%",si,,
V140,6 Educación,6.3.1 (p.50),"JCF 25,614 (-38.2%); STPS -35.8%; JCF = 89.1% de STPS; JCF+JEF 33,391 (-27.3%)",b,,analíticos; EM p.160,"25,614.2; STPS -35.8% (EM); 25,614.2/28,756.4=89.1%; 25,614.2+7,776.4=33,390.6",si,,Variaciones de programa no verificables.
V141,6 Educación,6.4 (p.51),Matrícula básica 11.5 millones (SEP); 8.6 millones de 0-3 años (CONAPO),a,,fuentes externas,,no_verificable,,
V142,7 Pensiones,7.1 (p.53),PEF 2019 aprobó pensiones contributivas y dos programas no contributivos,a,,EM p.63; CIEP cuadro 3.1,consistente,si,,
V143,7 Pensiones,7.1 (p.53),"965,202 contributivas; 138,556 no contributivas; total > billón por 103 mil; 4.2% PIB; IVA 3.8%",a/b,,"EM p.171; analítico R20; ILIF; 26,254.1 mmp (CGPE p.69)","965,202.8; 138,556.2; 1,103,759.0; 4.20%; 3.84%",si,,
V144,7 Pensiones,7.1 (p.53),Aumento total 8% real: 6.2% contributivas y 23% no contributivas,b,8; 6.2; 23,EM p.171 (6.2%); no contributivas 2019 no en carpeta,"6.2% sí; 23% = 138,556/(103,600+8,806)-1=23.3% (interno); 8% = 1,103,759/(908,780+112,406)-1=8.1% (interno)",aprox,,"Base 2019 de PAM (103,600) y Discapacidad (8,806) no verificable."
V145,7 Pensiones,7.2 (p.53),"Gasto en pensiones +35.5% real desde 2014, 5.2% anual promedio",b,35.5; 5.2,"EM p.131 (2015-2019 contributivo: 703,311.0 -> 908,780.2; +29.2%); 2020 965,202.8; 2014 no en carpeta",2015-2020 contributivo: +37.2% (6.5% anual); agregado con no contributivo no reconstruible,no_verificable,,
V146,7 Pensiones,7.2 (p.53),2014: 93.5% a instituciones de seguridad social; 2020: 87.5% contributivo / 12.5% no contributivo,b,93.5; 87.5/12.5,EM p.171; analítico R20,"965,202.8/1,103,759.0=87.4%; 12.6%",si,,2014 no verificable. Contradice el 'casi 97%' de p.III.
V147,7 Pensiones,7.2 (p.54),"Distribución 2020: IMSS 44%, ISSSTE 22%, Pemex y CFE 10%, LFC/ISSFAM y otras 11%, bienestar 13%",b,,EM p.171; analítico R20,"488,616.7/1,103,759=44.3%; 245,711.1/=22.3%; 107,621.9/=9.8%; GF 123,253.0/=11.2%; 138,556.2/=12.6%",si,,"La partida de 11% es 'Gobierno Federal' en la EM; el analítico R19 muestra LFC 22,130.5, Ferrocarriles 2,889.6, civiles/militares 27,244.3 y haberes 6,410.4 (58.7 mmp); el resto no está desglosado en carpeta."
V148,7 Pensiones,7.2 (p.54),"Solo en 2017 las pensiones bajan como % PIB, de 3.5 a 3.4; de 2018 a 2020 se recuperan hasta 4.2%",b,3.5 -> 3.4 (2017),CGPE p.177 (contributivo: 2016 3.2; 2017 3.2; 2018 3.4; 2019 3.5/3.6),serie oficial contributiva no muestra caída en 2017 (3.2 -> 3.2); el 4.2 incluye no contributivo,no,,La serie CIEP (con no contributivo y Cuenta Pública) no está en carpeta; la oficial no respalda la caída.
V149,7 Pensiones,7.2 (p.54),Perspectivas de crecimiento constante hasta 2025 (SHCP 2019),a,,"CGPE p.122, p.124; EM p.141",3.8 -> 4.5% PIB; 7% real anual,si,,
V150,7 Pensiones,7.2 (p.54),Desde 2017: pensiones para el bienestar +211%; aportaciones +30%; pensiones IMSS +17%,b,211; 30; 17,"EM p.128 (Ramo 19 2017 732,868.7 -> 2020 863,611.8 = +17.8%); IMSS pensiones 2017 y PAM 2017 no en carpeta",Ramo 19 bruto +17.8% (no 30); resto no verificable,no_verificable,,"Si 'aportaciones' es el Ramo 19 neteado de CIEP (137,614), no hay 2017 en carpeta."
V151,7 Pensiones,7.2 (p.54-55),Aumento en aportaciones por transición reparto -> cuentas individuales; aumento IMSS por generación de transición (Ley 1973) con pensiones más altas,a/c,,"DEC art.6 (344,161.7 mdp para pensiones en curso de pago, art. Duodécimo Transitorio LSS 1995); analítico IMSS PP 001 'Pensiones en curso de pago Ley 1973' 344,161.7",consistente,si,,La parte causal ('presionando finanzas') es juicio; la descripción coincide.
V152,7 Pensiones,7.3 (p.55),6.84 millones de adultos mayores y 163 mil con discapacidad,a,6.84 M; 163 mil,"EM p.210 (6,849,252; 163,273); p.215 (6.8 M)","6,849,252; 163,273",si,,
V153,7 Pensiones,7.3 (p.55),CONAPO: 7.1 millones de 68+ en 2020; 3.6% no recibirían la pensión,b,7.1 M; 3.6%,CONAPO (no en carpeta); EM p.211 solo da población total 127.2 M,(7.1-6.84)/7.1=3.7% (interno),no_verificable,,
V154,7 Pensiones,7.4 (p.56),Desde 2019 se gasta el equivalente al IVA en pensiones,b,,"CGPE p.87 (IVA LIF 2019 1,030.7 mmp 2020); EM p.171 (908,780.2); CIEP 2019 PAM+Discap 112,406","2019: 908,780.2+112,406=1,021,186 vs IVA 1,030,700 = 99.1%",aprox,,Base 2019 no contributiva es la de CIEP.
V155,7 Pensiones,7.4 (p.56),"IVA 2020 3.8% PIB, 0.4 pp menos que pensiones",b,3.8; 0.4,"ILIF; 26,254.1 mmp (CGPE p.69)",3.84; 4.20-3.84=0.36,si,,
V156,7 Pensiones,7.4 (p.56),"Sin reforma, el gasto seguirá creciendo por al menos una generación más",c,,,,,,Juicio; el CGPE p.129 afirma lo contrario para la 'próxima década' y el p.122 proyecta al alza hasta 2025.
V157,8 Energía,intro (p.58),Función C&E +5.8% real; Pemex concentra 52.3%; subfunción petróleo y gas 57.6%,b,5.8; 52.3; 57.6,"analíticos función C&E (GF 136,668.7; CFE 444,586.2; Pemex 636,364.8)","636,364.8/1,217,619.7=52.3%; SF2 (65,360.4+636,364.8)/1,217,619.7=57.6%",si,,+5.8% no verificable; EM consolidado +7.5%.
V158,8 Energía,intro (p.58),Capital diferente de obra pública +94.4%; 65.1% en inversiones financieras,b,,2019 no en carpeta,,no_verificable,,
V159,8 Energía,8.1 (p.58),"Pemex 636,364.8 mdp; +4.2% real; 51.1% en producción (+13.3%); logística +32.6%",a/b,"636,364.8; 51.1","analíticos Pemex (función C&E 636,364.8; AI 226 325,410.6)","636,364.8 exacto; 325,410.6/636,364.8=51.1%",si,,Variaciones no verificables.
V160,8 Energía,8.1 (p.59),Pemex pensiones -3.0% real; 26.7% más a pensiones que a explorar,b,-3.0; 26.7,"EM p.171 (Pemex -2.9%); analíticos (pensiones 63,895.0; AI 229 exploración 50,417.9)","-2.9%; 63,895.0/50,417.9=1.267",si,,
V161,8 Energía,8.1 (p.59),"Obra pública = 45.3% del gasto de Pemex; capital diferente de obra pública x29.5, en 'Compra de acciones' (inversión financiera)",b,45.3,"analíticos Pemex (cap.6000 288,027.5; PP 005 41,256.6)","288,027.5/636,364.8=45.3%",si,,x29.5 no verificable.
V162,8 Energía,8.2 (p.60),CFE -7.6% real; generación -16.1%; O&M centrales -13.7%; transmisión -9.3%; distribución +13.5%; comercialización +66.4%,a,,EM p.167 (CFE programable +1.4%); 2019 no en carpeta,programable +1.4% (EM); resto no verificable,no,-7.6 vs +1.4,"CIEP usa perímetro función C&E (444,586.2) y base 2019 propia."
V163,8 Energía,8.2 (p.61),"88.5% del gasto de CFE es corriente; obra pública -39.1%, de 8.9% a 5.9% del gasto",b,88.5; 5.9,"analíticos CFE (cap.1-4: 407,377.3; cap.6000 26,176.4; total función 444,586.2)","407,377.3/444,586.2=91.6% (o 83.4% sobre 488,398.1); 26,176.4/444,586.2=5.9%",aprox,corriente,5.9% coincide; 88.5% no se reproduce con ninguna base.
V164,8 Energía,8.3 (p.61),SENER +68.9%; 97.4% a hidrocarburos; Dos Bocas como inversión financiera; SENER ejerció 10.2% sobre lo aprobado a julio 2019,a/b,,"analíticos R18 (PP 003 46,411.8; cap.7000 46,256.0); EM p.163 (46,256 aportación patrimonial a Pemex)","46,411.8/47,637.0=97.4%",aprox,,"La EM llama a los 46,256 'aportación patrimonial a Pemex', no 'Dos Bocas' (CGPE p.90 menciona 41.3 mmp de inversión financiera para Dos Bocas). +68.9% y 10.2% no verificables."
V165,8 Energía,8.4 (p.61-62),"CRE -4.6%, CNH -4.5%; Regulación y permisos de electricidad -16.5%; hidrocarburos 51.3% de CRE; CNH 56.3% en promoción",a/b,,EM p.160 (CRE -1.7; CNH -1.3),,no,,Ver fila Resumen.
V166,8 Energía,8.5 (p.62),"Ramo 23 función C&E 88,573.7 (+19.8%); subsidio a tarifas +29.7% = 79.0%; FEIP y FEIEF -23.5%; fondo hidrocarburos +46.9%",a/b,,"analíticos R23 (88,573.7; tarifas 70,000.0; FEIP 9,081.5+FEIEF 2,641.9=11,723.4; hidrocarburos 6,850.3); EM p.190 fondos de estabilización -23.4%","88,573.7 exacto; 70,000/88,573.7=79.0%; -23.4%",si,,"+19.8, +29.7, +46.9 no verificables."
V167,9 Seguridad,9.1 (p.64),"Ley de la Guardia Nacional mayo 2019; SSPC 59,150; 0.9% del gasto; 0.2% PIB; SEGOB -90%",a,,DEC Anexo 1,"59,150.7; 0.97%; 0.23%",si,,SEGOB: ver Resumen.
V168,9 Seguridad,Cuadro 9.1 (p.65),"15 subfunciones: Otros 1,730.33; Policía 30,881.06; Protección civil 143.94; SNSP 11,149.71; Asuntos jurídicos 144.78; Función pública 4,415.25; Política interior 1,469.51; DDHH 3,683.94; Impartición 74,373.65; Procuración 19,254.82; Reclusión 20,832.97; Acceso info 907.75; Defensa 83,450.15; Inteligencia 2,692.95; Marina 29,006.10; total 284,136.91",a,,analítico función GF por SF,"1,730.3; 30,881.1; 143.9; 11,149.7; 144.8; (2,969.1+1,332.0+108.9=4,410.0); 1,469.5; 3,683.9; 74,373.7; 19,254.8; 20,833.0; 907.8; 83,450.1; 2,692.9; 29,006.1",si,Función pública 5.3,14 de 15 exactas.
V169,9 Seguridad,9.2 (p.65-67),+7.9% real; 1.02 -> 1.08% PIB (+6.1%); Asuntos de orden público -2.3%; Otros asuntos -46%; Protección civil -28%; Coordinación -5%; Asesoría jurídica +30%; Justicia +7.5%; Seguridad Nacional +14%; Defensa +20%,a,,EM p.189-190 (Seg. Nacional +13.8%; orden público -2.6%; coordinación -5.1%; justicia +12.8% consolidada),"284,136.9/26,254,100=1.08%; Seg. Nac. y coordinación coinciden; orden público -2.6 vs -2.3; resto no verificable",aprox,,
V170,9 Seguridad,9.2 (p.67),Dos programas nuevos en Defensa: Plan DN-III-E y cuerpos de seguridad de las Fuerzas Armadas,a,,"analíticos (Defensa PP 024 1.7; PP 026 21,922.2; Marina PP 026 5,151.7)",existen en 2020,si,,
V171,9 Seguridad,9.3 (p.67-69),SSPC: Guardia Nacional 6.5%; Policía Federal 43%; Readaptación 35.3% (78.2%); CENAPRED 0.1%; Antisecuestro 0.08%,b,,analítico R36 por UR,"3,842.2/59,150.7=6.5%; 25,443.9/=43.0%; 20,833.0/=35.2%; 68.2/=0.12%; 52.5/=0.09%",si,,
V172,9 Seguridad,9.4 (p.69),Recortes en protección civil; prevención de desastres y antisecuestro ~0.1%,a/c,,,,,,Descriptivo verificado arriba; valoración es juicio.
V173,10 Federalizado,10.1-10.2 (p.71),"1,972,054.5 mdp; 32.3%; -0.5%; 7.5% vs 7.7% PIB; 47.9% ramo 28; 38.5% ramo 33; 13.6% otros; salud 3.68%; R23 0.76%",b,,"EM p.188; 26,254.1 mmp (CGPE p.69)","1,972,054.5; 32.35%; -0.5%; 7.51/7.70; 944,270.6/1,972,054.5=47.9%; 759,383.9/=38.5%; 13.6%; 72,538.4/=3.68%; 15,010.9/=0.76%",si,,
V174,10 Federalizado,Cuadro 10.1 (p.71),"Ramo 28 -8,660 (-0.9%); Ramo 33 -2,862 (-0.3%); Otros 268,400 (+758, +0.28%); total -10,764",b,,"EM p.188 (2019a: 952,645.1; 762,017.3; 267,561.8; 1,982,224.2)","-8,374.5; -2,633.4; 268,400.0 (+838.2); -10,169.7",aprox,~300-600 mdp,Diferencias por base 2019 de CIEP (deflactor).
V175,10 Federalizado,10.2 (p.72),"Estados con más/menos gasto federalizado per cápita: CDMX, Campeche, BCS / Jalisco, Guanajuato, Edomex",b,,(analítico tiene columna EF; no procesado),,no_verificable,,Verificación posible en corrida 2021.
V176,10 Federalizado,10.2 (p.72-73),"Ramos 28 y 33 = 86.39% del federalizado; ramos 23 y 25 crecen 2.4% y 8.1%, son 3.7% del total",b,86.39; 2.4; 8.1; 3.7,EM p.188,"(944,270.6+759,383.9)/1,972,054.5=86.4%; R25 +2.4%; R23 +8.1% (orden invertido); (57,357.5+15,010.9)/=3.7%",aprox,orden 23/25,
V177,10 Federalizado,10.2.1 (p.73),"RFP 3,389,084.3 (+0.2% real); ramo 28 944,270.6 (-8,660.3; -0.9%); 3.7% -> 3.6% PIB; FCIAN +0.34%; FGP -1.09%; FFM -0.53%; otros -0.44%",a/b,,"ILIF art.1o. (3,389,084.3); EM p.188; analíticos R28 2020 (FGP 678,561.9; FFM 33,890.8; FCIAN 2,707.2; otros 229,110.7)","RFP exacto; -8,374.5 (EM); 3.7 -> 3.6; fondos 2020 disponibles, 2019 no",aprox,,
